objectid,filename,youtubeid,vimeoid,title,creator,date,description,subject,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement
gioconr1,"Giocon1_1.jpg",,,Bang!,"Emiliano Sciarra, Alex Pierangelini, Stefano De Fazi",,,"competitivo, rapido, più giocatori, famiglie, carte, nativo",,,,GIO 0097,97,Gioco,img,italiano,,
gioconr2,"Giocon2_1.jpg",,,Draftosaurus,"Antoine Bauza, Corentin Lebrat, Ludovic Maublanc, Theo Rivière",,,"competitivo, rapido, più giocatori, famiglie, da tavolo, tradotto",,,,GIO 319,319,Gioco,img,"italiano, francese",,
gioconr3,"Giocon3_1.jpg",,,Su una Scala da 1 a T-Rex,"Wolfgang Warsch, Matthew Inman, Elan Lee, Exploding Kittens",,,"competitivo, più giocatori, bambini, da tavolo, tradotto",,,,GIO 445,445,Gioco,img,"italiano, inglese",,
gioconr4,"Giocon4_1.jpg",,,Amazzonia,"Tim Eisner, Vincent Dutrait",,,"competitivo, due giocatori, famiglie, da tavolo, tradotto",,,,GIO 467,467,Gioco,img,"italiano, inglese",,
